label,country,state,county,Event Start Date,Site.Ownership,Site.Access,Site.Classification,Site.Use,Survey.Class,Survey.Season,ANPA,CORA,COTO,COTOi,COTOp,COTOv,EPFU,LABO,LANO,MYAU,MYCA,MYCI,MYEV,MYGR,MYLU,MYSE,MYSO,MYSP,MYVE,PESU,TABR,UNKN,Total.Live,Total.Dead,Total.Bat.Count,vulnerable_c,vulnerable_p,Total.Species,h.density50,type,Event Type,Public,Number Affected,Event End Date,Species,release_date,status_season
Pd not detected,USA,WI,Crawford,1/28/15,redacted,Gated-all year,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,0,3,0,23,0,0,58,0,58,55,3,4,6.676739216,cave,,,,,,,
Pd not detected,USA,WI,Richland,1/29/15,redacted,Open-all year,Cave-recreational,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,9,0,2,0,61,0,0,166,0,166,164,3,4,7.805403709,cave,,,,,,,
Pd not detected,USA,WI,Iron,2/5/15,redacted,Open-all year,Mine-inactive,Hibernaculum,Active,2014-15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,25,0,25,21,2,3,3.096750498,mine,,,,,,,
Pd not detected,USA,WI,Grant,2/24/15,redacted,Gated-all year,Mine-inactive,Hibernaculum,Active,2014-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,329,6,0,17,0,40,0,35,393,35,428,375,3,5,18.85751152,mine,,,,,,,
Pd not detected,USA,WI,Polk,2/16/16,redacted,Gated-all year,Other-beer cave,Hibernaculum,Active,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,13,0,0,0,18,0,0,81,0,81,81,3,3,42.5418663,cave,,,,,,,
Pd not detected,USA,WI,Polk,1/30/17,redacted,Gated-all year,Other-beer cave,Hibernaculum,Active,2016-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,26,0,0,0,18,0,0,94,0,94,94,3,3,42.5418663,cave,,,,,,,
Pd not detected,USA,WI,Jackson,3/23/17,redacted,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2016-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,6.014946938,cave,,,,,,,
Pd present,USA,WI,Crawford,1/27/15,redacted,Gated-all year,Cave-show,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,22,0,2,0,62,0,0,275,0,275,273,3,4,6.509997368,cave,,,,,,,
Pd present,USA,WI,Iowa,1/30/15,redacted,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,0,5,0,49,0,0,88,0,88,83,3,4,8.273838997,cave,,,,,,,
Pd present,USA,WI,CRAWFORD,1/26/16,redacted,Gated-all year,Cave-undeveloped,Hibernaculum,Active,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,5,0,24,0,0,52,0,52,47,3,4,6.676739216,cave,,,,,,,
Pd present,USA,WI,CRAWFORD,1/26/16,redacted,Open-all year,Cave-undeveloped,Hibernaculum,Active,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32,0,32,32,1,1,7.292283058,cave,,,,,,,
Pd present,USA,WI,IOWA,1/27/16,redacted,Gated-all year,Cave-show (inactive),Hibernaculum,Active,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,5,0,19,0,0,33,0,33,28,3,4,32.75514984,cave,,,,,,,
Pd present,USA,WI,Crawford,1/11/18,redacted,Gated-breech,Cave-undeveloped,Hibernaculum,Active,2017-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,1,2,7.237796783,cave,,,,,,,
Pd present,USA,WI,Iowa,3/4/18,redacted,Gated-seasonal,Cave-undeveloped,Hibernaculum,Active,2017-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,2,1,2,9.07794857,cave,,,,,,,
Suspect,USA,WI,GRANT,1/27/16,redacted,Gated-all year,Mine-inactive,Hibernaculum,Active,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0,0,22,0,0,696,0,696,696,2,2,19.19581985,mine,,,,,,,
Suspect,USA,WI,Iowa,2/1/16,redacted,Open-all year,Mine-inactive,Hibernaculum,Active,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,1,0,30,0,0,63,0,63,62,3,4,9.183097839,mine,,,,,,,
Suspect,USA,WI,Iron,2/16/16,redacted,Open-all year,Mine-inactive,Hibernaculum,Active,2015-16,0,0,0,0,0,0,11,0,0,0,0,0,0,0,488,14,0,0,0,0,0,20,513,20,533,502,2,3,3.096750498,mine,,,,,,,
Suspect,USA,WI,Richland,2/24/16,redacted,Open-all year,Cave-recreational,Hibernaculum,Active,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6,0,2,0,51,0,0,159,0,159,157,3,4,7.805403709,cave,,,,,,,
Suspect,USA,WI,Monroe,1/31/17,redacted,Gated-all year,Tunnel/culvert,Hibernaculum,Active,2016-17,0,0,0,0,0,0,273,0,0,0,0,0,0,0,119,32,0,0,0,5,0,0,429,0,429,156,3,4,8.765414238,manmade,,,,,,,
